index,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
141,Moldova,Europe,625712,191174.255,12135,3707.616,1109270,1078813,404774,33.89,32.96,12.37,3272993,123.655,37.6,10.864,6.955,5189.972,71.9,0.75
142,Monaco,Europe,17090,468334.658,67,1836.069,28875,25667,10598,79.13,70.34,29.04,36491,19347.5,NaN,NaN,NaN,NaN,86.75,NaN
143,Montenegro,Europe,251280,400713.144,2654,4232.301,292783,284869,101519,46.69,45.43,16.19,627082,46.28,39.1,14.762,9.395,16409.288,76.88,0.829
144,Netherlands,Europe,8620051,490778.933,22986,1308.698,12596446,11782254,9429219,71.72,67.08,53.68,17564020,508.544,43.2,18.779,11.881,48472.545,82.28,0.944
145,North Macedonia,Europe,349618,166993.216,9949,4752.088,854570,838181,161633,40.82,40.04,7.72,2093606,82.6,39.1,13.26,8.16,13111.214,75.8,0.774
146,Northern Ireland,Europe,NaN,NaN,NaN,NaN,1430694,1361003,2234611,75.46,71.78,117.86,1896000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147,Norway,Europe,1489459,274083.584,5732,1054.777,4346995,4054726,3743839,79.99,74.61,68.89,5434324,14.462,39.7,16.821,10.813,64800.057,82.4,0.957
148,Poland,Europe,6529896,163832.511,119664,3002.322,22877416,22649313,15393435,57.4,56.83,38.62,39857144,124.027,41.8,16.763,10.202,27216.445,78.73,0.88
149,Portugal,Europe,5629824,548135.759,27630,2690.136,9791341,8906354,7056661,95.33,86.71,68.71,10270857,112.371,46.2,21.502,14.924,27936.896,82.05,0.864
150,Romania,Europe,3485792,177310.348,68455,3482.072,8188146,8114769,NaN,41.65,41.28,NaN,19659270,85.129,43,17.85,11.69,23313.199,76.05,0.828
151,Russia,Europe,23098734,159617.202,400195,2765.433,89081596,79702396,20829310,61.56,55.08,14.39,144713312,8.823,39.6,14.178,9.393,24765.954,72.58,0.824
152,San Marino,Europe,24760,734936.183,126,3739.982,26357,23633,19348,78.23,70.15,57.43,33690,556.667,NaN,NaN,NaN,56861.47,84.97,NaN
153,Scotland,Europe,NaN,NaN,NaN,NaN,4549556,4285946,3594835,83.23,78.41,65.77,5466000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154,Serbia,Europe,2567962,373709.443,18057,2627.793,3354075,3278198,1902412,48.81,47.71,27.69,6871547,80.291,41.2,17.366,NaN,14048.881,76,0.806
